"filename", "language", "JavaScript", "PHP", "XML", "CSS", "Log", "comment", "blank", "total"
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/css/index.php", "PHP", 0, 1, 0, 0, 0, 1, 1, 3
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/css/redsys-add-payment-method.css", "CSS", 0, 0, 0, 0, 0, 8, 0, 8
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/css/redsys-css.css", "CSS", 0, 0, 0, 49, 0, 3, 3, 55
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/css/redsys-notice.css", "CSS", 0, 0, 0, 60, 0, 3, 8, 71
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/css/select2.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/index.php", "PHP", 0, 1, 0, 0, 0, 1, 1, 3
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/border/3-corners.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/border/bruised.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/border/canvas.svg", "XML", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/border/circle.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/border/default.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/border/dots.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/border/drop.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/border/drop_in.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/border/dropeye.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/border/dropeyeleaf.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/border/dropeyeleft.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/border/dropeyeright.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/border/flower.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/border/flower_in.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/border/flurry.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/border/leaf.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/border/rounded.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/border/sdoz.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/border/squarecircle.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/border/vortex.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 2
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/frame/balloon-bottom.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/frame/balloon-top.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/frame/bottom.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/frame/cine.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 2
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/frame/none.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/frame/phone.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/frame/ribbon-bottom.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/frame/ribbon-top.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/frame/top.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/9-dots-fat.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/9-dots.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/bruised.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/circle.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/cross.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/danger.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/default.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/diagonal.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/mcenter/diamond.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
